x,y,Dist_400,Gini_count_group_400,Mean_count_group_400,Med_count_group_400,N_400,N_local,N_r800,Nv_count_group_400,R_count_group_400,R_count_group_r800,T_count_group_400,T_count_group_r800
250,850,412.3105626,0.4370540541,0.925,1,400,8,1066,400,0.105,0.126641651,42,135
250,950,424.2640687,0.4747050631,0.8799019608,1,408,8,1100,408,0.1029411765,0.1290909091,42,142
250,1050,424.2640687,0.5745298769,1.056930693,1,404,10,1093,404,0.1138613861,0.131747484,46,144
250,1150,412.3105626,0.6501538543,0.8883495146,1,412,11,1098,412,0.08980582524,0.135701275,37,149
250,1250,412.3105626,0.6138792942,1.009708738,1,412,13,1113,412,0.1067961165,0.1320754717,44,147
250,1350,424.2640687,0.5894744694,0.8172839506,1,405,11,1106,405,0.1012345679,0.1311030741,41,145
250,1450,424.2640687,0.5729411262,0.9612590799,1,413,8,1103,413,0.1138014528,0.1332728921,47,147
250,1550,447.2135955,0.5488852889,0.9731543624,1,447,7,1103,447,0.1185682327,0.1350861287,53,149
250,1650,424.2640687,0.5387960497,1.02955665,1,406,10,1083,406,0.1231527094,0.1311172669,50,142
250,1750,424.2640687,0.5297648013,1.014814815,1,405,10,1087,405,0.1234567901,0.132474701,50,144
250,1850,447.2135955,0.519355894,1.056206089,1,427,7,1073,427,0.1334894614,0.1351351351,57,145
250,1950,447.2135955,0.494404084,1.079254079,1,429,9,1067,429,0.1351981352,0.1330834114,58,142
250,2050,447.2135955,0.4554183675,1.128878282,1,419,11,1097,419,0.1360381862,0.1321786691,57,145
250,2150,447.2135955,0.4484640746,1.138755981,1,418,8,1081,418,0.1363636364,0.1378353377,57,149
250,2250,447.2135955,0.4452694499,1.158139535,1,430,7,1082,430,0.1372093023,0.1404805915,59,152
250,2350,447.2135955,0.4943947971,1.086956522,1,437,11,1066,437,0.1258581236,0.1510318949,55,161
250,2450,447.2135955,0.4852116366,1.099307159,1,433,6,1050,433,0.129330254,0.1457142857,56,153
250,2550,447.2135955,0.4909800345,1.072261072,1,429,10,1054,429,0.1282051282,0.1423149905,55,150
250,2650,447.2135955,0.4994798032,1.239819005,1,442,6,1053,442,0.1425339367,0.1405508072,63,148
250,2750,447.2135955,0.5007278387,1.23690205,1,439,11,1063,439,0.138952164,0.1401693321,61,149
250,2850,447.2135955,0.5015308496,1.21040724,1,442,8,1038,442,0.1357466063,0.1396917148,60,145
250,2950,424.2640687,0.5067566482,1.138271605,1,405,10,1059,405,0.1259259259,0.1425873466,51,151
250,3050,424.2640687,0.5116763646,1.122194514,1,401,14,1063,401,0.1246882793,0.1439322672,50,153
250,3150,447.2135955,0.5360586605,1.031319911,1,447,4,1078,447,0.1140939597,0.1493506494,51,161
250,3250,447.2135955,0.4926059795,1.126410835,1,443,6,1063,443,0.1286681716,0.1476952023,57,157
250,3350,447.2135955,0.5151408323,1.148063781,1,439,10,1014,439,0.132118451,0.1429980276,58,145
250,3450,447.2135955,0.5156044412,1.167431193,1,436,6,953,436,0.1330275229,0.1427072403,58,136
250,3550,447.2135955,0.4719868631,1.126410835,1,443,6,886,443,0.1309255079,0.1433408578,58,127
250,3650,447.2135955,0.5112120986,1.074441687,1,403,5,816,403,0.1265508685,0.1470588235,51,120
250,3750,509.9019514,0.4942982791,1.09929078,1,423,10,728,423,0.1276595745,0.1497252747,54,109
250,3850,565.6854249,0.4958741648,1.1225,1,400,6,647,400,0.13,0.1391035549,52,90
250,3950,632.455532,0.4856539962,1.044226044,1,407,10,574,407,0.1253071253,0.1358885017,51,78
350,50,583.0951895,0.3496051607,1.096296296,1,405,12,631,405,0.1283950617,0.1362916006,52,86
350,150,509.9019514,0.3511312689,1.103117506,1,417,5,717,417,0.1294964029,0.1422594142,54,102
350,250,447.2135955,0.3414779532,1.092457421,1,411,8,818,411,0.1289537713,0.1393643032,53,114
350,350,412.3105626,0.3760356255,1.044117647,1,408,8,896,408,0.1200980392,0.1361607143,49,122
350,450,412.3105626,0.4078736063,1.046189376,1,433,11,978,433,0.1200923788,0.1431492843,52,140
350,550,412.3105626,0.4016178057,1.082949309,1,434,10,1060,434,0.1267281106,0.1367924528,55,145
350,650,412.3105626,0.4694832346,1.036697248,1,436,3,1134,436,0.1169724771,0.1331569665,51,151
350,750,412.3105626,0.443951049,1.034090909,1,440,9,1189,440,0.1181818182,0.1312026913,52,156
350,850,412.3105626,0.4662291867,0.9030023095,1,433,10,1207,433,0.1016166282,0.1358740679,44,164
350,950,412.3105626,0.5549163607,1.060465116,1,430,6,1214,430,0.111627907,0.1375617792,48,167
350,1050,412.3105626,0.5932055144,0.9975961538,1,416,15,1215,416,0.1081730769,0.1407407407,45,171
350,1150,412.3105626,0.5935983209,1.097505669,1,441,6,1219,441,0.1179138322,0.1419196062,52,173
350,1250,412.3105626,0.5954401307,1.075,1,440,4,1226,440,0.1181818182,0.1370309951,52,168
350,1350,412.3105626,0.5959878088,1.11011236,1,445,7,1219,445,0.1213483146,0.1378178835,54,168
350,1450,412.3105626,0.6141594038,0.8367816092,0,435,7,1226,435,0.1011494253,0.1362153344,44,167
350,1550,412.3105626,0.5678171063,0.9746543779,1,434,14,1233,434,0.1175115207,0.1394971614,51,172
350,1650,412.3105626,0.5309128203,1.037470726,1,427,9,1208,427,0.1241217799,0.1374172185,53,166
350,1750,412.3105626,0.5268626695,1.093078759,1,419,4,1215,419,0.1312649165,0.1341563786,55,163
350,1850,412.3105626,0.5390819144,1.034146341,1,410,8,1218,410,0.1268292683,0.1379310345,52,168
350,1950,412.3105626,0.4901950302,1.101941748,1,412,13,1198,412,0.1359223301,0.132721202,56,159
350,2050,412.3105626,0.42640383,1.259803922,1,408,6,1218,408,0.1446078431,0.1354679803,59,165
350,2150,412.3105626,0.4389122398,1.215880893,1,403,7,1207,403,0.1389578164,0.1458160729,56,176
350,2250,412.3105626,0.433202442,1.20383693,1,417,7,1211,417,0.1366906475,0.1436829067,57,174
350,2350,412.3105626,0.4485604273,1.168674699,1,415,7,1213,415,0.1373493976,0.1467436109,57,178
350,2450,412.3105626,0.4702230944,1.140776699,1,412,7,1185,412,0.1334951456,0.1502109705,55,178
350,2550,412.3105626,0.4623403485,1.122891566,1,415,6,1164,415,0.1325301205,0.1546391753,55,180
350,2650,412.3105626,0.5017181549,1.308235294,1,425,5,1177,425,0.1482352941,0.1495327103,63,176
350,2750,412.3105626,0.508452393,1.305164319,1,426,10,1181,426,0.1455399061,0.1456392887,62,172
350,2850,412.3105626,0.5015039902,1.292857143,1,420,8,1173,420,0.1428571429,0.1432225064,60,168
350,2950,412.3105626,0.4787054968,1.214797136,1,419,11,1175,419,0.138424821,0.1480851064,58,174
350,3050,412.3105626,0.4887056677,1.206161137,1,422,5,1202,422,0.1398104265,0.1480865225,59,178
350,3150,412.3105626,0.4806612039,1.247685185,1,432,9,1183,432,0.1388888889,0.1513102282,60,179
350,3250,412.3105626,0.4864994451,1.247058824,1,425,6,1180,425,0.1411764706,0.1516949153,60,179
350,3350,412.3105626,0.4967271897,1.258992806,1,417,9,1131,417,0.1414868106,0.1476569408,59,167
350,3450,412.3105626,0.5275546564,1.193627451,1,408,5,1058,408,0.137254902,0.145557656,56,154
350,3550,412.3105626,0.4818767698,1.172248804,1,418,4,980,418,0.1387559809,0.1489795918,58,146
350,3650,424.2640687,0.4778065679,1.136258661,1,433,11,916,433,0.1339491917,0.1451965066,58,133
350,3750,447.2135955,0.4834765469,1.153284672,1,411,5,811,411,0.1362530414,0.1491985203,56,121
350,3850,509.9019514,0.4791971545,1.170731707,1,410,10,713,410,0.1414634146,0.1402524544,58,100
350,3950,600,0.468436301,1.167901235,1,405,9,647,405,0.1407407407,0.1375579598,57,89
450,50,565.6854249,0.3548087776,1.064903846,1,416,8,686,416,0.125,0.1370262391,52,94
450,150,500,0.3514167601,1.061032864,1,426,8,791,426,0.1244131455,0.1491782554,53,118
450,250,424.2640687,0.3510541827,0.9875311721,1,401,7,873,401,0.114713217,0.1454753723,46,127
450,350,412.3105626,0.3778253402,1,1,435,9,994,435,0.1149425287,0.1428571429,50,142
450,450,412.3105626,0.400045789,1.087527352,1,457,9,1082,457,0.1269146608,0.1451016636,58,157
450,550,412.3105626,0.4553616689,1.031390135,1,446,13,1166,446,0.1210762332,0.1432246998,54,167
450,650,412.3105626,0.4284020727,1.046979866,1,447,6,1233,447,0.1230425056,0.1427412814,55,176
450,750,412.3105626,0.4562261632,1.00877193,1,456,7,1298,456,0.1118421053,0.1432973806,51,186
450,850,400,0.5157649694,1.247524752,1,404,9,1331,404,0.1262376238,0.139744553,51,186
450,950,412.3105626,0.5452242931,1.233115468,1,459,13,1337,459,0.1241830065,0.1398653702,57,187
450,1050,412.3105626,0.562692703,1.221978022,1,455,8,1313,455,0.1252747253,0.1408987053,57,185
450,1150,412.3105626,0.5941330344,1.076233184,1,446,10,1307,446,0.1210762332,0.1446059679,54,189
450,1250,412.3105626,0.5799133799,1.123913043,1,460,6,1323,460,0.1239130435,0.1390778534,57,184
450,1350,400,0.6145938215,1.0925,1,400,5,1317,400,0.1175,0.1412300683,47,186
450,1450,400,0.6230031617,1.178217822,1,404,1,1330,404,0.1287128713,0.1413533835,52,188
450,1550,412.3105626,0.5527812895,0.9756637168,1,452,8,1330,452,0.1194690265,0.1458646617,54,194
450,1650,412.3105626,0.5550090973,1.027459954,1,437,6,1323,437,0.1258581236,0.1405895692,55,186
450,1750,412.3105626,0.5348659665,1.170786517,1,445,5,1345,445,0.1348314607,0.1375464684,60,185
450,1850,412.3105626,0.5027925625,1.201834862,1,436,5,1333,436,0.1399082569,0.1402850713,61,187
450,1950,412.3105626,0.4640697219,1.295045045,1,444,10,1321,444,0.1509009009,0.1430734292,67,189
450,2050,412.3105626,0.4469444444,1.273148148,1,432,10,1325,432,0.150462963,0.1449056604,65,192
450,2150,412.3105626,0.4350235065,1.207058824,1,425,8,1312,425,0.1435294118,0.1425304878,61,187
450,2250,412.3105626,0.4226854348,1.187203791,1,422,7,1340,422,0.1398104265,0.1440298507,59,193
450,2350,412.3105626,0.4510468562,1.21192053,1,453,8,1323,453,0.1346578366,0.148904006,61,197
450,2450,412.3105626,0.4836289092,1.098398169,1,437,13,1279,437,0.1304347826,0.1555903049,57,199
450,2550,412.3105626,0.5125488293,1.132723112,1,437,10,1294,437,0.1372997712,0.1545595054,60,200
450,2650,412.3105626,0.4892744242,1.283516484,1,455,10,1312,455,0.1472527473,0.1554878049,67,204
450,2750,400,0.4741348974,1.364764268,1,403,13,1303,403,0.1464019851,0.1534919417,59,200
450,2850,412.3105626,0.4777319603,1.349665924,1,449,9,1294,449,0.14922049,0.1553323029,67,201
450,2950,412.3105626,0.4630324449,1.3640553,1,434,6,1297,434,0.1589861751,0.1572860447,69,204
450,3050,400,0.4496234171,1.345771144,1,402,13,1294,402,0.1492537313,0.1506955178,60,195
450,3150,412.3105626,0.4865501711,1.340659341,1,455,5,1309,455,0.1494505495,0.1566080978,68,205
450,3250,412.3105626,0.4786132949,1.308558559,1,444,8,1310,444,0.1486486486,0.1564885496,66,205
450,3350,412.3105626,0.4773311314,1.382352941,1,442,7,1241,442,0.1583710407,0.149073328,70,185
450,3450,412.3105626,0.4600728075,1.400452489,1,442,7,1166,442,0.1606334842,0.1526586621,71,178
450,3550,412.3105626,0.4843341493,1.218468468,1,444,9,1075,444,0.1418918919,0.1544186047,63,166
450,3650,412.3105626,0.4534078151,1.224586288,1,423,8,1010,423,0.146572104,0.1534653465,62,155
450,3750,447.2135955,0.4536144172,1.192825112,1,446,10,893,446,0.1434977578,0.1590145577,64,142
450,3850,500,0.454875771,1.211165049,1,412,5,796,412,0.1480582524,0.1507537688,61,120
450,3950,565.6854249,0.4523577185,1.204488778,1,401,9,691,401,0.1471321696,0.1389290883,59,96
550,50,538.5164807,0.3708063508,1.128266033,1,421,6,747,421,0.1330166271,0.1526104418,56,114
550,150,500,0.3590917841,1.062645012,1,431,6,854,431,0.1276102088,0.1522248244,55,130
550,250,424.2640687,0.3451382063,1.022277228,1,404,14,968,404,0.1212871287,0.1497933884,49,145
550,350,412.3105626,0.3638170751,1,1,422,8,1078,422,0.1184834123,0.1437847866,50,155
550,450,412.3105626,0.4294880626,0.9660633484,1,442,5,1185,442,0.1176470588,0.1476793249,52,175
550,550,412.3105626,0.4120809793,1.048888889,1,450,9,1272,450,0.1266666667,0.1462264151,57,186
550,650,412.3105626,0.4318087121,1.090909091,1,440,12,1367,440,0.1318181818,0.1492318947,58,204
550,750,412.3105626,0.4933918179,1.3598234,1,453,6,1415,453,0.1412803532,0.1491166078,64,211
550,850,412.3105626,0.5069421409,1.360801782,1,449,8,1432,449,0.140311804,0.1452513966,63,208
550,950,412.3105626,0.5124593903,1.367391304,1,460,8,1435,460,0.1391304348,0.1442508711,64,207
550,1050,400,0.5430508004,1.324257426,1,404,4,1415,404,0.1336633663,0.1491166078,54,211
550,1150,412.3105626,0.5532453245,1.346666667,1,450,9,1408,450,0.14,0.1427556818,63,201
550,1250,412.3105626,0.5871750544,1.201754386,1,456,4,1417,456,0.1315789474,0.1432604093,60,203
550,1350,400,0.5999252137,1.17,1,400,6,1398,400,0.125,0.143776824,50,201
550,1450,412.3105626,0.5795988104,1.201357466,1,442,9,1436,442,0.1380090498,0.1427576602,61,205
550,1550,412.3105626,0.5844244051,1.228699552,1,446,6,1432,446,0.1390134529,0.1466480447,62,210
550,1650,412.3105626,0.5367865405,1.124168514,1,451,10,1438,451,0.133037694,0.1467315716,60,211
550,1750,412.3105626,0.4985311398,1.191441441,1,444,10,1435,444,0.1396396396,0.1456445993,62,209
550,1850,412.3105626,0.4637132243,1.317286652,1,457,4,1441,457,0.1466083151,0.146426093,67,211
550,1950,412.3105626,0.4291007675,1.437641723,1,441,7,1418,441,0.1678004535,0.143864598,74,204
550,2050,412.3105626,0.4585682412,1.303652968,1,438,8,1419,438,0.1529680365,0.1451726568,67,206
550,2150,412.3105626,0.4311950732,1.33409611,1,437,3,1425,437,0.1601830664,0.1452631579,70,207
550,2250,412.3105626,0.4407661973,1.265446224,1,437,7,1429,437,0.1464530892,0.1483554934,64,212
550,2350,412.3105626,0.4554829399,1.224719101,1,445,7,1422,445,0.1370786517,0.1511954993,61,215
550,2450,412.3105626,0.4758991635,1.319101124,1,445,8,1404,445,0.1505617978,0.155982906,67,219
550,2550,412.3105626,0.4898177424,1.178173719,1,449,9,1416,449,0.135857461,0.1581920904,61,224
550,2650,412.3105626,0.4947040359,1.25974026,1,462,4,1424,462,0.1406926407,0.1615168539,65,230
550,2750,412.3105626,0.4723465747,1.331848552,1,449,10,1416,449,0.1514476615,0.1617231638,68,229
550,2850,412.3105626,0.4535197307,1.413186813,1,455,2,1414,455,0.1582417582,0.1612446959,72,228
550,2950,412.3105626,0.4230664983,1.448577681,1,457,10,1405,457,0.1641137856,0.159430605,75,224
550,3050,412.3105626,0.4271068958,1.520179372,1,446,8,1432,446,0.1704035874,0.1592178771,76,228
550,3150,412.3105626,0.4567554622,1.418708241,1,449,5,1417,449,0.1559020045,0.1545518701,70,219
550,3250,412.3105626,0.4471449925,1.486666667,1,450,11,1405,450,0.1666666667,0.1572953737,75,221
550,3350,412.3105626,0.4179841897,1.482608696,1,460,10,1356,460,0.1717391304,0.1563421829,79,212
550,3450,412.3105626,0.4343594971,1.453333333,1,450,4,1271,450,0.1666666667,0.1589299764,75,202
550,3550,412.3105626,0.4255924534,1.334841629,1,442,8,1165,442,0.1561085973,0.1579399142,69,184
550,3650,412.3105626,0.4172661871,1.350119904,1,417,6,1068,417,0.1606714628,0.1610486891,67,172
550,3750,447.2135955,0.4236378031,1.300230947,1,433,5,985,433,0.1570438799,0.1685279188,68,166
550,3850,500,0.4141639957,1.318734793,1,411,10,859,411,0.1605839416,0.1606519208,66,138
550,3950,538.5164807,0.4100900735,1.260240964,1,415,4,760,415,0.1542168675,0.1513157895,64,115
650,50,509.9019514,0.359016129,1.1625,1,400,10,801,400,0.1375,0.1510611735,55,121
650,150,500,0.3667892578,1.223234624,1,439,12,906,439,0.145785877,0.1490066225,64,135
650,250,424.2640687,0.3709650278,1.207823961,1,409,9,1022,409,0.1442542787,0.1526418787,59,156
650,350,412.3105626,0.3706150252,1.149643705,1,421,9,1150,421,0.1377672209,0.1530434783,58,176
650,450,412.3105626,0.39620807,1.095022624,1,442,7,1257,442,0.1334841629,0.1503579952,59,189
650,550,412.3105626,0.4187173441,1.092134831,1,445,9,1362,445,0.1325842697,0.1512481645,59,206
650,650,412.3105626,0.41459018,1.240990991,1,444,5,1454,444,0.1441441441,0.1519944979,64,221
650,750,412.3105626,0.4722468535,1.464530892,1,437,4,1504,437,0.1624713959,0.1569148936,71,236
650,850,412.3105626,0.4742028782,1.440449438,1,445,8,1527,445,0.1528089888,0.1565160445,68,239
650,950,412.3105626,0.5074369638,1.44345898,1,451,5,1534,451,0.155210643,0.1512385919,70,232
650,1050,412.3105626,0.5397591033,1.392070485,1,454,5,1516,454,0.1431718062,0.1484168865,65,225
650,1150,412.3105626,0.5227826659,1.544468547,1,461,16,1497,461,0.1561822126,0.1456245825,72,218
650,1250,412.3105626,0.5139922374,1.563559322,1,472,11,1488,472,0.1588983051,0.1465053763,75,218
650,1350,412.3105626,0.5446609219,1.418655098,1,461,8,1479,461,0.1518438178,0.1467207573,70,217
650,1450,412.3105626,0.5567320261,1.322222222,1,450,6,1497,450,0.1466666667,0.1482965932,66,222
650,1550,412.3105626,0.5540125961,1.345211581,1,449,11,1513,449,0.1469933185,0.1473892928,66,223
650,1650,412.3105626,0.493771854,1.267123288,1,438,9,1506,438,0.1506849315,0.1520584329,66,229
650,1750,412.3105626,0.4246045353,1.37037037,1,459,7,1504,459,0.1568627451,0.1469414894,72,221
650,1850,412.3105626,0.4293839776,1.376940133,1,451,3,1527,451,0.1596452328,0.1473477407,72,225
650,1950,412.3105626,0.4408646189,1.302222222,1,450,3,1527,450,0.1511111111,0.1532416503,68,234
650,2050,412.3105626,0.43676951,1.224444444,1,450,5,1512,450,0.1422222222,0.1554232804,64,235
650,2150,412.3105626,0.4428916494,1.376068376,1,468,9,1507,468,0.1538461538,0.1519575315,72,229
650,2250,412.3105626,0.4518240223,1.29082774,1,447,7,1501,447,0.1521252796,0.1512325117,68,227
650,2350,412.3105626,0.4405340378,1.458980044,1,451,8,1504,451,0.1685144124,0.1575797872,76,237
650,2450,412.3105626,0.4421544683,1.493303571,1,448,8,1503,448,0.1674107143,0.1576846307,75,237
650,2550,412.3105626,0.5097565233,1.289823009,1,452,5,1515,452,0.1415929204,0.1623762376,64,246
650,2650,412.3105626,0.4850673755,1.219026549,1,452,6,1522,452,0.1415929204,0.1636005256,64,249
650,2750,400,0.4785926372,1.365432099,1,405,7,1512,405,0.150617284,0.164021164,61,248
650,2850,412.3105626,0.4483764306,1.418141593,1,452,3,1511,452,0.1637168142,0.1621442753,74,245
