x,y,Dist_400,N_400,N_r800,R_count_group_400,R_count_group_r800,T_count_group_400,T_count_group_r800
150,3850,607.9927404,400,575,0.1173275862,0.1304347826,46.93103448,75
150,3950,693.3752453,400,502,0.1219230769,0.1294820717,48.76923077,65
250,50,614.1661013,400,570,0.1268,0.1298245614,50.72,74
250,150,556.7764363,400,647,0.1283333333,0.1329211747,51.33333333,86
250,250,494.9747468,400,730,0.12325,0.1273972603,49.3,93
250,350,439.0071443,400,808,0.1138636364,0.1237623762,45.54545455,100
250,450,420.3173404,400,886,0.1241666667,0.1286681716,49.66666667,114
250,550,419.9567077,400,955,0.1263636364,0.1298429319,50.54545455,124
250,650,410.9089362,400,1018,0.1207692308,0.1306483301,48.30769231,133
250,750,414.9966533,400,1061,0.1111111111,0.1272384543,44.44444444,135
250,850,412.3105626,400,1066,0.105,0.126641651,42,135
250,950,418.3300133,400,1100,0.10375,0.1290909091,41.5,142
250,1050,420.3173404,400,1093,0.1125,0.131747484,45,144
250,1150,409.6561751,400,1098,0.09195454545,0.135701275,36.78181818,149
250,1250,409.9941928,400,1113,0.1038095238,0.1320754717,41.52380952,147
250,1350,420.0340122,400,1106,0.1016071429,0.1311030741,40.64285714,145
250,1450,416.1224516,400,1103,0.1175,0.1332728921,47,147
250,1550,425.6759331,400,1103,0.1137,0.1350861287,45.48,149
250,1650,418.7894643,400,1083,0.1215384615,0.1311172669,48.61538462,142
250,1750,420.7835828,400,1087,0.1213235294,0.132474701,48.52941176,144
250,1850,431.8564576,400,1073,0.1374375,0.1351351351,54.975,145
250,1950,431.1074791,400,1067,0.1273170732,0.1330834114,50.92682927,142
250,2050,437.6706017,400,1097,0.1319444444,0.1321786691,52.77777778,145
250,2150,436.1998054,400,1081,0.1376351351,0.1378353377,55.05405405,149
250,2250,432.0493799,400,1082,0.1408333333,0.1404805915,56.33333333,152
250,2350,430.3486958,400,1066,0.1264,0.1510318949,50.56,161
250,2450,431.8918988,400,1050,0.1315816327,0.1457142857,52.63265306,153
250,2550,430.6971093,400,1054,0.126625,0.1423149905,50.65,150
250,2650,426.3087267,400,1053,0.1369565217,0.1405508072,54.7826087,148
250,2750,426.4510114,400,1063,0.1411627907,0.1401693321,56.46511628,149
250,2850,429.4699576,400,1038,0.1363888889,0.1396917148,54.55555556,145
250,2950,420.3173404,400,1059,0.1258333333,0.1425873466,50.33333333,151
250,3050,423.6744033,400,1063,0.124625,0.1439322672,49.85,153
250,3150,430.4793839,400,1078,0.1183203125,0.1493506494,47.328125,161
250,3250,428.6882141,400,1063,0.1262735849,0.1476952023,50.50943396,157
250,3350,428.2572303,400,1014,0.1367021277,0.1429980276,54.68085106,145
250,3450,432.8607409,400,953,0.1292105263,0.1427072403,51.68421053,136
250,3550,430.3166436,400,886,0.1320258621,0.1433408578,52.81034483,127
250,3650,445.292841,400,816,0.1264285714,0.1470588235,50.57142857,120
250,3750,503.2248942,400,728,0.1282352941,0.1497252747,51.29411765,109
250,3850,565.6854249,400,647,0.13,0.1391035549,52,90
250,3950,621.9927652,400,574,0.12203125,0.1358885017,48.8125,78
350,50,578.5644667,400,631,0.1267105263,0.1362916006,50.68421053,86
350,150,504.8252023,400,717,0.1272727273,0.1422594142,50.90909091,102
350,250,438.9381126,400,818,0.1279166667,0.1393643032,51.16666667,114
350,350,409.169103,400,896,0.1192741935,0.1361607143,47.70967742,122
350,450,403.5171458,400,978,0.1192391304,0.1431492843,47.69565217,140
350,550,403.9801975,400,1060,0.1239,0.1367924528,49.56,145
350,650,402.2663071,400,1134,0.1254545455,0.1331569665,50.18181818,151
350,750,403.227718,400,1189,0.1133333333,0.1312026913,45.33333333,156
350,850,403.706234,400,1207,0.1029787234,0.1358740679,41.19148936,164
350,950,405.3882369,400,1214,0.1143396226,0.1375617792,45.73584906,167
350,1050,406.3883797,400,1215,0.1076515152,0.1407407407,43.06060606,171
350,1150,402.2437072,400,1219,0.11155,0.1419196062,44.62,173
350,1250,401.386486,400,1226,0.1122222222,0.1370309951,44.88888889,168
350,1350,402.2663071,400,1219,0.1165909091,0.1378178835,46.63636364,168
350,1450,402.5486984,400,1226,0.1080113636,0.1362153344,43.20454545,167
350,1550,405.139397,400,1233,0.1201724138,0.1394971614,48.06896552,172
350,1650,406.0857796,400,1208,0.1261320755,0.1374172185,50.45283019,166
350,1750,407.7677155,400,1215,0.1328431373,0.1341563786,53.1372549,163
350,1850,409.1068577,400,1218,0.1267105263,0.1379310345,50.68421053,168
350,1950,409.4472601,400,1198,0.1358823529,0.132721202,54.35294118,159
350,2050,410.6904755,400,1218,0.1438333333,0.1354679803,57.53333333,165
350,2150,411.5674369,400,1207,0.138622449,0.1458160729,55.44897959,176
350,2250,408.1666326,400,1211,0.13825,0.1436829067,55.3,174
350,2350,409.1068577,400,1213,0.1378947368,0.1467436109,55.15789474,178
350,2450,409.6068576,400,1185,0.1330555556,0.1502109705,53.22222222,178
350,2550,408.4219762,400,1164,0.1319148936,0.1546391753,52.76595745,180
350,2650,407.0499419,400,1177,0.1413362069,0.1495327103,56.53448276,176
350,2750,404.547323,400,1181,0.1470731707,0.1456392887,58.82926829,172
350,2850,407.1175271,400,1173,0.1404255319,0.1432225064,56.17021277,168
350,2950,407.6763422,400,1175,0.13645,0.1480851064,54.58,174
350,3050,405.7513356,400,1202,0.1407926829,0.1480865225,56.31707317,178
350,3150,405.6800108,400,1183,0.1350847458,0.1513102282,54.03389831,179
350,3250,405.3617913,400,1180,0.1372159091,0.1516949153,54.88636364,179
350,3350,408.5450904,400,1131,0.1405454545,0.1476569408,56.21818182,167
350,3450,410.4039139,400,1058,0.1360784314,0.145557656,54.43137255,154
350,3550,407.537675,400,980,0.1381521739,0.1489795918,55.26086957,146
350,3650,414.1720193,400,916,0.1386538462,0.1451965066,55.46153846,133
350,3750,438.6499665,400,811,0.1352586207,0.1491985203,54.10344828,121
350,3850,506.3877679,400,713,0.1396428571,0.1402524544,55.85714286,100
350,3950,594.0177968,400,647,0.1407142857,0.1375579598,56.28571429,89
450,50,542.896714,400,686,0.1215789474,0.1370262391,48.63157895,94
450,150,471.5298777,400,791,0.1228191489,0.1491782554,49.12765957,118
450,250,423.6088342,400,873,0.1148611111,0.1454753723,45.94444444,127
450,350,403.3712103,400,994,0.1140625,0.1428571429,45.625,142
450,450,400.818834,400,1082,0.1169672131,0.1451016636,46.78688525,157
450,550,402.4050504,400,1166,0.120877193,0.1432246998,48.35087719,167
450,650,402.6992261,400,1233,0.119875,0.1427412814,47.95,176
450,750,402.047001,400,1298,0.119141791,0.1432973806,47.65671642,186
450,850,396.0329598,400,1331,0.1261842105,0.139744553,50.47368421,186
450,950,401.8075103,400,1337,0.1147101449,0.1398653702,45.88405797,187
450,1050,403.6690698,400,1313,0.1266346154,0.1408987053,50.65384615,185
450,1150,403.6373086,400,1307,0.1243846154,0.1446059679,49.75384615,189
450,1250,402.2198676,400,1323,0.1240068493,0.1390778534,49.60273973,184
450,1350,400,400,1317,0.1175,0.1412300683,47,186
450,1450,395.4284213,400,1330,0.1290909091,0.1413533835,51.63636364,188
450,1550,403.9280811,400,1330,0.1213157895,0.1458646617,48.52631579,194
450,1650,402.6507911,400,1323,0.1276595745,0.1405895692,51.06382979,186
450,1750,403.9576936,400,1345,0.1295454545,0.1375464684,51.81818182,185
450,1850,404.2951217,400,1333,0.1426818182,0.1402850713,57.07272727,187
450,1950,405.0358676,400,1321,0.1496621622,0.1430734292,59.86486486,189
450,2050,405.1935564,400,1325,0.1552272727,0.1449056604,62.09090909,192
450,2150,407.3913867,400,1312,0.1404032258,0.1425304878,56.16129032,187
450,2250,405.9087395,400,1340,0.1383333333,0.1440298507,55.33333333,193
450,2350,403.5317061,400,1323,0.1399662162,0.148904006,55.98648649,197
450,2450,403.4167796,400,1279,0.1298039216,0.1555903049,51.92156863,199
450,2550,405.3488526,400,1294,0.1428846154,0.1545595054,57.15384615,200
450,2650,401.753967,400,1312,0.1395703125,0.1554878049,55.828125,204
450,2750,396.7726949,400,1303,0.1468571429,0.1534919417,58.74285714,200
450,2850,402.9190365,400,1294,0.156015625,0.1553323029,62.40625,201
450,2950,405.6058789,400,1297,0.1587903226,0.1572860447,63.51612903,204
450,3050,397.7207792,400,1294,0.1495454545,0.1506955178,59.81818182,195
450,3150,402.0779361,400,1309,0.1554166667,0.1566080978,62.16666667,205
450,3250,401.273483,400,1310,0.1515306122,0.1564885496,60.6122449,205
450,3350,404.8617585,400,1241,0.1597826087,0.149073328,63.91304348,185
450,3450,403.1128874,400,1166,0.155,0.1526586621,62,178
450,3550,403.6127176,400,1075,0.1415322581,0.1544186047,56.61290323,166
450,3650,406.3328475,400,1010,0.1464361702,0.1534653465,58.57446809,155
450,3750,428.7885832,400,893,0.1499122807,0.1590145577,59.96491228,142
450,3850,486.781801,400,796,0.1479347826,0.1507537688,59.17391304,120
450,3950,563.7882074,400,691,0.1471428571,0.1389290883,58.85714286,96
550,50,519.9158586,400,747,0.131796875,0.1526104418,52.71875,114
550,150,467.9743583,400,854,0.1251,0.1522248244,50.04,130
550,250,420.3173404,400,968,0.1216666667,0.1497933884,48.66666667,145
550,350,406.3386655,400,1078,0.1201111111,0.1437847866,48.04444444,155
550,450,404.2740407,400,1185,0.116875,0.1476793249,46.75,175
550,550,403.2952502,400,1272,0.1259558824,0.1462264151,50.38235294,186
550,650,403.227718,400,1367,0.1283333333,0.1492318947,51.33333333,204
550,750,403.2851211,400,1415,0.1360763889,0.1491166078,54.43055556,211
550,850,401.3613199,400,1432,0.1419090909,0.1452513966,56.76363636,208
550,950,400.9603855,400,1435,0.1392307692,0.1442508711,55.69230769,207
550,1050,395.8114029,400,1415,0.1336111111,0.1491166078,53.44444444,211
550,1150,402.7250923,400,1408,0.1340625,0.1427556818,53.625,201
550,1250,400.4308025,400,1417,0.1282758621,0.1432604093,51.31034483,203
550,1350,400,400,1398,0.125,0.143776824,50,201
550,1450,403.585624,400,1436,0.1418220339,0.1427576602,56.72881356,205
550,1550,404.5968736,400,1432,0.1329452055,0.1466480447,53.17808219,210
550,1650,403.8664484,400,1438,0.1413851351,0.1467315716,56.55405405,211
550,1750,403.6127176,400,1435,0.1372580645,0.1456445993,54.90322581,209
550,1850,400.818834,400,1441,0.1604918033,0.146426093,64.19672131,211
550,1950,404.4672422,400,1418,0.159375,0.143864598,63.75,204
550,2050,405.5770625,400,1419,0.1523550725,0.1451726568,60.94202899,206
550,2150,404.3621792,400,1425,0.1522807018,0.1452631579,60.9122807,207
550,2250,404.0702009,400,1429,0.1448636364,0.1483554934,57.94545455,212
550,2350,403.2653603,400,1422,0.1377459016,0.1511954993,55.09836066,215
550,2450,403.2653603,400,1404,0.1453688525,0.155982906,58.14754098,219
550,2550,402.7681991,400,1416,0.135,0.1581920904,54,224
550,2650,401.2661121,400,1424,0.1400362319,0.1615168539,56.01449275,230
550,2750,402.1130628,400,1416,0.1533898305,0.1617231638,61.3559322,229
550,2850,401.9184762,400,1414,0.1651923077,0.1612446959,66.07692308,228
550,2950,401.700929,400,1405,0.1680681818,0.159430605,67.22727273,224
550,3050,402.9061098,400,1432,0.1708333333,0.1592178771,68.33333333,228
550,3150,403.4775305,400,1417,0.1623897059,0.1545518701,64.95588235,219
550,3250,402.7250923,400,1405,0.166015625,0.1572953737,66.40625,221
550,3350,402.0779361,400,1356,0.1808333333,0.1563421829,72.33333333,212
550,3450,402.8742885,400,1271,0.1721153846,0.1589299764,68.84615385,202
550,3550,403.8746762,400,1165,0.1570081967,0.1579399142,62.80327869,184
550,3650,407.2513457,400,1068,0.1623170732,0.1610486891,64.92682927,172
550,3750,428.8384766,400,985,0.1619512195,0.1685279188,64.7804878,166
550,3850,489.5126571,400,859,0.1603301887,0.1606519208,64.13207547,138
550,3950,524.8655742,400,760,0.1575806452,0.1513157895,63.03225806,115
650,50,509.9019514,400,801,0.1375,0.1510611735,55,121
650,150,465.1658955,400,906,0.1381465517,0.1490066225,55.25862069,135
650,250,417.1330723,400,1022,0.14,0.1526418787,56,156
650,350,406.8561354,400,1150,0.1360638298,0.1530434783,54.42553191,176
650,450,404.1451884,400,1257,0.1291666667,0.1503579952,51.66666667,189
650,550,403.1128874,400,1362,0.130625,0.1512481645,52.25,206
650,650,404.3876998,400,1454,0.1454411765,0.1519944979,58.17647059,221
650,750,405.2391269,400,1504,0.1616015625,0.1569148936,64.640625,236
650,850,402.4478671,400,1527,0.1499107143,0.1565160445,59.96428571,239
650,950,402.3739081,400,1534,0.1486904762,0.1512385919,59.47619048,232
650,1050,403.1128874,400,1516,0.145625,0.1484168865,58.25,225
650,1150,401.4466593,400,1497,0.1534782609,0.1456245825,61.39130435,218
650,1250,400.1711962,400,1488,0.1603767123,0.1465053763,64.15068493,218
650,1350,402.3265672,400,1479,0.1607666667,0.1467207573,64.30666667,217
650,1450,401.9022564,400,1497,0.1522881356,0.1482965932,60.91525424,222
650,1550,403.7325848,400,1513,0.151,0.1473892928,60.4,223
650,1650,405.0462937,400,1506,0.148671875,0.1520584329,59.46875,229
650,1750,400.6043821,400,1504,0.1562096774,0.1469414894,62.48387097,221
650,1850,402.9740186,400,1527,0.1628731343,0.1473477407,65.14925373,225
650,1950,403.0189108,400,1527,0.1529545455,0.1532416503,61.18181818,234
650,2050,403.4273456,400,1512,0.1491304348,0.1554232804,59.65217391,235
650,2150,401.1649702,400,1507,0.1528,0.1519575315,61.12,229
650,2250,403.3066451,400,1501,0.1534765625,0.1512325117,61.390625,227
650,2350,403.5057638,400,1504,0.159471831,0.1575797872,63.78873239,237
650,2450,401.9688388,400,1503,0.1643421053,0.1576846307,65.73684211,237
650,2550,402.0110735,400,1515,0.1411290323,0.1623762376,56.4516129,246
650,2650,403.2014739,400,1522,0.1377142857,0.1636005256,55.08571429,249
650,2750,394.8999189,400,1512,0.1514864865,0.164021164,60.59459459,248
650,2850,404.1451884,400,1511,0.17,0.1621442753,68,245
650,2950,401.4260295,400,1517,0.1665,0.1621621622,66.6,246
650,3050,397.9678107,400,1517,0.1812837838,0.159525379,72.51351351,242
650,3150,402.6833075,400,1517,0.1816538462,0.1588661833,72.66153846,241
650,3250,401.8104191,400,1487,0.1818548387,0.1654337592,72.74193548,246
650,3350,390.7466274,400,1441,0.1800609756,0.1665510062,72.02439024,240
650,3450,402.5282419,400,1362,0.1701086957,0.1644640235,68.04347826,224
650,3550,402.9888336,400,1251,0.1692,0.1622701839,67.68,203
650,3650,406.4298035,400,1154,0.1580555556,0.1663778163,63.22222222,192
650,3750,425.8680974,400,1033,0.1538636364,0.1684414327,61.54545455,174
650,3850,477.3726169,400,922,0.1572596154,0.1637744035,62.90384615,151
650,3950,524.4044241,400,820,0.1575,0.1634146341,63,134
750,50,515.7518783,400,826,0.1455,0.1513317191,58.2,125
750,150,459.8136268,400,950,0.1505,0.1547368421,60.2,147
750,250,421.3074887,400,1074,0.14625,0.1582867784,58.5,170
750,350,405.6663868,400,1196,0.1466304348,0.1588628763,58.65217391,190
750,450,403.4391626,400,1305,0.1575986842,0.1555555556,63.03947368,203
750,550,403.3642308,400,1427,0.1556081081,0.1576734408,62.24324324,225
750,650,405.4772061,400,1501,0.1535294118,0.1578947368,61.41176471,237
750,750,405.8691042,400,1550,0.1541891892,0.1606451613,61.67567568,249
750,850,405.4979302,400,1571,0.1719285714,0.1616804583,68.77142857,254
750,950,403.3066451,400,1579,0.156640625,0.1557948068,62.65625,246
750,1050,400.9080602,400,1576,0.1687727273,0.154822335,67.50909091,244
750,1150,401.057923,400,1567,0.1766949153,0.1557115507,70.6779661,244
750,1250,401.9184762,400,1544,0.1838461538,0.1515544041,73.53846154,234
750,1350,402.7448197,400,1568,0.176059322,0.15625,70.42372881,245
750,1450,393.7003937,400,1548,0.16375,0.1543927649,65.5,239
750,1550,400.9603855,400,1554,0.1525,0.1531531532,61,238
750,1650,403.1591664,400,1556,0.1594402985,0.1561696658,63.7761194,243
750,1750,402.003909,400,1570,0.1686160714,0.1573248408,67.44642857,247
750,1850,401.6510045,400,1560,0.1561397059,0.1557692308,62.45588235,243
750,1950,399.0119376,400,1562,0.1497368421,0.1594110115,59.89473684,249
750,2050,400.3245437,400,1560,0.1480194805,0.1596153846,59.20779221,249
750,2150,401.8894767,400,1553,0.1484090909,0.1603348358,59.36363636,249
750,2250,388.8141852,400,1551,0.1638235294,0.1669890393,65.52941176,259
750,2350,400.1922615,400,1568,0.1803076923,0.1645408163,72.12307692,258
750,2450,400,400,1564,0.155,0.165601023,62,259
750,2550,399.0613988,400,1593,0.1695625,0.1650973007,67.825,263
750,2650,402.4922359,400,1604,0.1595,0.1633416459,63.8,262
750,2750,404.6603514,400,1598,0.1565625,0.1708385482,62.625,273
750,2850,403.0704075,400,1593,0.1836643836,0.1632140615,73.46575342,260
750,2950,400.7239825,400,1607,0.1815942029,0.1642812694,72.63768116,264
750,3050,401.1014248,400,1595,0.1739705882,0.1692789969,69.58823529,270
750,3150,402.0779361,400,1577,0.1904166667,0.170577045,76.16666667,269
750,3250,400.1865237,400,1549,0.1830970149,0.1704325371,73.23880597,264
750,3350,392.4283374,400,1505,0.1875,0.1740863787,75,262
750,3450,400.5064362,400,1417,0.1836148649,0.1721947777,73.44594595,244
750,3550,390.2025942,400,1298,0.1766935484,0.1741140216,70.67741935,226
750,3650,404.9691346,400,1197,0.1525,0.1670843776,61,200
750,3750,426.6543077,400,1089,0.146059322,0.1698806244,58.42372881,185
750,3850,471.0942842,400,963,0.1584649123,0.1713395639,63.38596491,165
750,3950,516.1671933,400,843,0.15875,0.1696322657,63.5,143
850,50,519.9158586,400,842,0.162578125,0.1543942993,65.03125,130
850,150,465.7942526,400,963,0.1643303571,0.1557632399,65.73214286,150
850,250,418.3300133,400,1095,0.16875,0.1552511416,67.5,170
850,350,404.6946723,400,1224,0.1735,0.1568627451,69.4,192
850,450,400.5133692,400,1316,0.1735273973,0.1626139818,69.4109589,214
850,550,401.0403139,400,1430,0.1620833333,0.1636363636,64.83333333,234
850,650,404.8319267,400,1508,0.1741666667,0.1651193634,69.66666667,249
850,750,405.4453908,400,1559,0.1762719298,0.1667735728,70.50877193,260
850,850,404.1987424,400,1579,0.1701623377,0.1640278657,68.06493506,259
850,950,404.2188233,400,1583,0.1759375,0.1617182565,70.375,256
850,1050,404.0862708,400,1590,0.1823214286,0.1685534591,72.92857143,268
850,1150,401.497198,400,1569,0.189,0.17208413,75.6,270
850,1250,400.6690833,400,1555,0.1914732143,0.168488746,76.58928571,262
850,1350,397.7880015,400,1570,0.1867647059,0.1687898089,74.70588235,265
850,1450,394.9683532,400,1567,0.1776666667,0.1608168475,71.06666667,252
850,1550,381.8238778,400,1589,0.1653947368,0.1611076149,66.15789474,256
850,1650,400.9047738,400,1581,0.1555797101,0.1606578115,62.23188406,254
850,1750,402.2851393,400,1573,0.151875,0.1633820725,60.75,257
850,1850,386.8014796,400,1576,0.1548076923,0.1656091371,61.92307692,261
850,1950,391.4406806,400,1567,0.1552419355,0.1716656031,62.09677419,269
850,2050,393.2116283,400,1572,0.1566025641,0.1711195929,62.64102564,269
850,2150,388.4701931,400,1568,0.1652272727,0.1721938776,66.09090909,270
850,2250,385.8200913,400,1562,0.1550714286,0.166453265,62.02857143,260
850,2350,389.2794132,400,1570,0.1721794872,0.1687898089,68.87179487,265
850,2450,382.0176697,400,1610,0.17078125,0.1739130435,68.3125,280
850,2550,401.781746,400,1618,0.1682142857,0.1786155748,67.28571429,289
850,2650,403.4572812,400,1634,0.1647222222,0.170746634,65.88888889,279
850,2750,403.4775305,400,1641,0.1729779412,0.1779402803,69.19117647,292
850,2850,403.1542302,400,1625,0.182,0.1796923077,72.8,292
850,2950,402.4572412,400,1619,0.195915493,0.1735639284,78.36619718,281
850,3050,392.4283374,400,1611,0.1875,0.1762880199,75,284
850,3150,388.9933026,400,1601,0.1849342105,0.1773891318,73.97368421,284
850,3250,396.2322551,400,1583,0.1815,0.176879343,72.6,280
850,3350,374.8332963,400,1513,0.191875,0.181097158,76.75,274
850,3450,371.4835124,400,1406,0.1901666667,0.1813655761,76.06666667,255
850,3550,391.8819064,400,1313,0.1723214286,0.1805026657,68.92857143,237
850,3650,403.3343172,400,1208,0.1680357143,0.1796357616,67.21428571,217
850,3750,424.2640687,400,1082,0.17,0.1802218115,68,195
850,3850,469.4362261,400,963,0.1806481481,0.1765316719,72.25925926,170
850,3950,512.5692858,400,853,0.1775,0.1793669402,71,153
950,50,509.9019514,400,847,0.1725,0.160566706,69,136
950,150,460.0077639,400,973,0.1663839286,0.1562178828,66.55357143,152
950,250,417.0288281,400,1096,0.1689130435,0.1569343066,67.56521739,172
950,350,395.2847075,400,1213,0.179375,0.1665292663,71.75,202
950,450,403.8151392,400,1327,0.1751666667,0.1725697061,70.06666667,229
950,550,401.8340307,400,1446,0.1851470588,0.1749654219,74.05882353,253
950,650,400.8918629,400,1514,0.1757142857,0.1756935271,70.28571429,266
950,750,403.4273456,400,1563,0.1889492754,0.1746641075,75.57971014,273
950,850,404.1987424,400,1585,0.1826298701,0.1722397476,73.05194805,273
950,950,402.9437136,400,1585,0.1982727273,0.1753943218,79.30909091,278
950,1050,405.8287443,400,1588,0.2005681818,0.1763224181,80.22727273,280
950,1150,401.781746,400,1585,0.2046428571,0.1791798107,81.85714286,284
950,1250,402.0439581,400,1566,0.1820081967,0.1794380587,72.80327869,281
950,1350,400.7239825,400,1574,0.1936594203,0.1797966963,77.46376812,283
950,1450,400,400,1585,0.16,0.1791798107,64,284
950,1550,386.8946885,400,1588,0.165703125,0.1744332494,66.28125,277
950,1650,390.969491,400,1561,0.1621428571,0.1723254324,64.85714286,269
950,1750,387.2983346,400,1559,0.1641666667,0.1751122514,65.66666667,273
950,1850,400.3423193,400,1594,0.1658219178,0.1744040151,66.32876712,278
950,1950,394.4467458,400,1571,0.1674264706,0.1763208148,66.97058824,277
950,2050,397.1049077,400,1591,0.1642307692,0.179132621,65.69230769,285
950,2150,372.7182836,400,1586,0.1537162162,0.1796973518,61.48648649,285
950,2250,364.8334528,400,1585,0.1543103448,0.1760252366,61.72413793,279
950,2350,371.0987547,400,1581,0.1669285714,0.1701454775,66.77142857,269
