x,y,LowEdu_sum,Working_sum,Population
1957371.7,6828917.5,0.0,2.0,3.0
1958017.1,6828290.3,2.0,0.0,2.0
1958304.0,6828011.5,2.0,1.0,3.0
1959594.9,6826757.1,0.0,2.0,2.0
1956580.8,6829825.5,1.0,1.0,3.0
1963608.9,6822995.7,0.0,2.0,4.0
1956650.5,6829897.2,0.0,3.0,4.0
1956865.6,6829688.2,1.0,2.0,4.0
1963678.6,6823067.5,1.0,0.0,2.0
1965256.3,6821534.2,1.0,2.0,2.0
1965399.7,6821394.9,0.0,2.0,2.0
1965471.5,6821325.2,0.0,2.0,2.0
1956720.2,6829969.0,0.0,1.0,1.0
1956935.3,6829759.9,0.0,2.0,2.0
1957222.2,6829481.1,0.0,0.0,1.0
1959588.8,6827181.3,1.0,1.0,1.0
1959732.2,6827041.9,0.0,1.0,5.0
1962242.2,6824602.7,0.0,2.0,2.0
1965469.4,6821466.6,1.0,0.0,2.0
1956789.9,6830040.7,0.0,2.0,5.0
1957865.6,6828995.3,1.0,1.0,1.0
1961738.2,6825232.0,0.0,1.0,1.0
1961881.6,6825092.6,1.0,2.0,5.0
1960588.8,6826488.4,0.0,4.0,4.0
1957287.8,6829835.7,0.0,2.0,3.0
1961877.6,6825375.4,0.0,2.0,2.0
1956927.2,6830325.5,0.0,1.0,1.0
1960513.0,6826840.9,0.0,1.0,2.0
1961517.0,6825865.2,0.0,2.0,4.0
1960295.8,6827191.4,1.0,3.0,3.0
1963379.6,6824194.7,0.0,0.0,1.0
1961441.2,6826217.8,0.0,2.0,4.0
1963162.4,6824545.2,1.0,2.0,4.0
1963234.1,6824475.5,0.0,0.0,2.0
1963305.8,6824405.8,0.0,0.0,2.0
1957208.0,6830471.0,0.0,2.0,4.0
1959502.9,6828240.8,0.0,1.0,2.0
1963447.2,6824407.8,0.0,2.0,4.0
1963590.7,6824268.4,0.0,2.0,2.0
1957349.4,6830473.0,0.0,1.0,2.0
1957636.3,6830194.2,1.0,0.0,2.0
1960504.9,6827406.6,0.0,1.0,1.0
1961508.9,6826430.9,0.0,3.0,8.0
1961652.3,6826291.5,5.0,0.0,9.0
1957490.8,6830475.0,0.0,1.0,4.0
1964088.6,6824063.4,1.0,2.0,4.0
1964303.8,6823854.3,1.0,6.0,7.0
1959855.4,6828316.6,0.0,0.0,1.0
1960140.2,6828179.2,0.0,0.0,3.0
1960570.5,6827761.1,1.0,1.0,1.0
1958273.6,6830132.6,0.0,3.0,3.0
1963222.0,6825323.9,0.0,2.0,6.0
1957841.3,6830692.2,0.0,1.0,1.0
1963148.2,6825535.0,0.0,3.0,3.0
1965012.8,6823723.0,1.0,2.0,3.0
1965299.7,6823444.3,2.0,11.0,14.0
1957909.0,6830905.3,1.0,1.0,1.0
1959552.4,6829726.6,1.0,2.0,2.0
1959624.1,6829656.9,1.0,5.0,9.0
1959550.3,6829868.0,0.0,1.0,1.0
1959693.8,6829728.6,1.0,0.0,1.0
1959908.9,6829519.6,0.0,2.0,2.0
1959691.7,6829870.1,1.0,0.0,2.0
1962345.2,6827291.5,0.0,0.0,2.0
1959618.0,6830081.1,1.0,2.0,4.0
1959689.7,6830011.5,0.0,1.0,1.0
1960333.1,6829525.6,1.0,1.0,1.0
1960548.3,6829316.6,1.0,1.0,1.0
1963201.7,6826738.0,1.0,0.0,1.0
1960187.7,6829806.4,0.0,2.0,2.0
1960402.8,6829597.4,1.0,0.0,1.0
1960689.7,6829318.6,0.0,2.0,4.0
1962984.6,6827088.5,0.0,1.0,1.0
1964920.9,6825206.8,2.0,2.0,2.0
1959898.8,6830226.6,0.0,1.0,1.0
1959970.5,6830156.9,1.0,0.0,2.0
1960042.2,6830087.2,1.0,2.0,2.0
1963843.1,6826393.6,0.0,2.0,3.0
1964201.7,6826045.1,0.0,0.0,1.0
1960972.5,6829322.6,1.0,2.0,2.0
1964414.8,6825977.4,0.0,1.0,1.0
1964486.5,6825907.7,0.0,2.0,4.0
1959823.0,6830579.1,0.0,2.0,2.0
1959894.8,6830509.4,1.0,2.0,8.0
1960253.3,6830161.0,0.0,2.0,3.0
1960468.5,6829951.9,0.0,1.0,2.0
1963121.9,6827373.3,4.0,3.0,8.0
1960179.6,6830372.1,1.0,0.0,1.0
1963191.6,6827445.0,0.0,2.0,5.0
1961325.0,6829398.4,0.0,1.0,1.0
1961396.7,6829328.7,0.0,1.0,3.0
1963333.0,6827447.0,1.0,1.0,2.0
1963619.9,6827168.3,1.0,0.0,1.0
1961538.1,6829330.7,0.0,1.0,2.0
1963329.0,6827729.8,0.0,2.0,2.0
1963615.8,6827451.1,0.0,1.0,1.0
1961677.5,6829474.2,0.0,0.0,1.0
1963183.5,6828010.6,1.0,2.0,3.0
1963470.4,6827731.9,0.0,2.0,2.0
1963542.1,6827662.2,0.0,2.0,2.0
1963613.8,6827592.5,5.0,9.0,28.0
1963685.5,6827522.8,3.0,1.0,4.0
1963757.3,6827453.1,1.0,6.0,15.0
1963900.7,6827313.7,0.0,2.0,2.0
1960169.5,6831079.1,0.0,2.0,2.0
1963683.5,6827664.2,2.0,4.0,6.0
1963755.2,6827594.5,7.0,5.0,16.0
1963826.9,6827524.8,2.0,11.0,15.0
1963898.7,6827455.1,1.0,2.0,7.0
1963970.4,6827385.4,0.0,1.0,1.0
1964042.1,6827315.7,1.0,5.0,5.0
1964113.8,6827246.0,0.0,2.0,5.0
1961816.9,6829617.6,0.0,2.0,2.0
1963824.9,6827666.2,3.0,8.0,12.0
1963896.6,6827596.5,3.0,12.0,21.0
1963968.4,6827526.8,1.0,6.0,11.0
1964183.5,6827317.8,0.0,4.0,6.0
1964255.2,6827248.1,2.0,4.0,12.0
1964398.6,6827108.7,1.0,3.0,4.0
1964542.1,6826969.3,0.0,0.0,2.0
1964685.5,6826829.9,0.0,2.0,2.0
1964757.2,6826760.2,1.0,0.0,2.0
1965259.2,6826272.4,1.0,3.0,5.0
1961814.9,6829759.0,0.0,1.0,1.0
1961886.6,6829689.3,1.0,1.0,2.0
1963894.6,6827737.9,0.0,2.0,2.0
1963966.3,6827668.2,5.0,7.0,20.0
1964396.6,6827250.1,1.0,2.0,2.0
1964468.3,6827180.4,0.0,2.0,3.0
1964540.1,6827110.7,0.0,2.0,2.0
1964611.8,6827041.0,0.0,1.0,3.0
1964683.5,6826971.3,0.0,1.0,1.0
1964755.2,6826901.6,2.0,4.0,7.0
1964898.6,6826762.3,3.0,4.0,9.0
1964970.3,6826692.6,1.0,2.0,2.0
1965328.9,6826344.1,1.0,2.0,4.0
1961884.6,6829830.7,3.0,4.0,6.0
1963820.9,6827949.0,1.0,2.0,3.0
1963892.6,6827879.3,9.0,12.0,20.0
1963964.3,6827809.7,4.0,0.0,5.0
1964036.0,6827740.0,0.0,2.0,3.0
1964107.7,6827670.3,2.0,2.0,7.0
1964538.0,6827252.1,0.0,2.0,2.0
1964896.6,6826903.7,0.0,3.0,5.0
1965111.7,6826694.6,0.0,4.0,7.0
1965183.5,6826624.9,6.0,4.0,7.0
1965255.2,6826555.2,0.0,2.0,3.0
1965326.9,6826485.5,0.0,0.0,4.0
1965398.6,6826415.8,1.0,1.0,2.0
1965470.3,6826346.1,1.0,0.0,2.0
1961595.7,6830250.9,0.0,2.0,2.0
1961667.4,6830181.2,0.0,2.0,4.0
1961954.3,6829902.4,0.0,2.0,2.0
1963962.3,6827951.1,2.0,5.0,9.0
1964034.0,6827881.4,4.0,6.0,13.0
1964105.7,6827811.7,0.0,2.0,2.0
1964177.4,6827742.0,2.0,6.0,10.0
1965109.7,6826836.0,2.0,1.0,4.0
1965253.2,6826696.6,1.0,0.0,2.0
1965324.9,6826626.9,1.0,0.0,1.0
1961808.8,6830183.2,1.0,0.0,1.0
1961880.5,6830113.5,0.0,1.0,2.0
1962095.7,6829904.5,1.0,4.0,6.0
1962382.5,6829625.7,0.0,0.0,2.0
1962454.2,6829556.0,0.0,2.0,4.0
1962812.8,6829207.5,0.0,0.0,1.0
1964103.7,6827953.1,6.0,7.0,16.0
1964175.4,6827883.4,3.0,9.0,22.0
1964247.1,6827813.7,2.0,5.0,8.0
1964318.8,6827744.0,3.0,2.0,6.0
1964964.3,6827116.8,0.0,2.0,3.0
1964173.4,6828024.8,1.0,1.0,1.0
1964245.1,6827955.1,2.0,5.0,9.0
1964316.8,6827885.4,1.0,0.0,4.0
1964460.2,6827746.0,2.0,27.0,59.0
1965679.4,6826561.3,0.0,2.0,3.0
1962235.0,6830047.9,2.0,2.0,4.0
1962378.5,6829908.5,0.0,2.0,2.0
1962521.9,6829769.1,0.0,1.0,1.0
1964314.8,6828026.8,2.0,0.0,4.0
1964386.5,6827957.1,3.0,5.0,17.0
1964458.2,6827887.4,1.0,2.0,5.0
1964529.9,6827817.7,6.0,19.0,36.0
1964601.6,6827748.1,7.0,4.0,15.0
1965103.7,6827260.2,0.0,1.0,3.0
1965175.4,6827190.5,0.0,2.0,5.0
1966394.5,6826005.8,2.0,3.0,8.0
1962089.6,6830328.7,0.0,2.0,3.0
1962161.3,6830259.0,0.0,2.0,3.0
1962519.9,6829910.5,0.0,2.0,4.0
1964456.2,6828028.8,3.0,11.0,22.0
1964527.9,6827959.2,3.0,3.0,9.0
1962876.4,6829703.5,0.0,2.0,3.0
1964669.3,6827961.2,1.0,1.0,5.0
1978008.3,6814998.5,0.0,1.0,1.0
1963017.8,6829705.5,2.0,2.0,3.0
1964739.0,6828032.9,0.0,3.0,4.0
1964882.4,6827893.5,0.0,2.0,4.0
1977862.9,6815279.3,0.0,3.0,3.0
1962155.2,6830683.2,1.0,3.0,4.0
1962227.0,6830613.5,0.0,2.0,5.0
1962298.7,6830543.8,1.0,2.0,2.0
1962370.4,6830474.1,0.0,0.0,2.0
1962442.1,6830404.4,0.0,0.0,3.0
1966816.7,6826153.2,0.0,0.0,2.0
1966888.4,6826083.6,0.0,0.0,5.0
1980299.2,6813051.2,1.0,0.0,1.0
1961149.2,6831800.3,1.0,6.0,7.0
1962296.6,6830685.2,0.0,1.0,1.0
1962440.1,6830545.8,0.0,1.0,2.0
1962511.8,6830476.1,1.0,3.0,4.0
1962583.5,6830406.5,0.0,4.0,8.0
1963085.5,6829918.6,0.0,0.0,3.0
1966814.7,6826294.6,0.0,2.0,2.0
1966886.4,6826225.0,0.0,2.0,3.0
1966958.1,6826155.3,1.0,1.0,3.0
1962007.8,6831105.4,0.0,3.0,3.0
1962151.2,6830966.0,0.0,2.0,2.0
1965091.5,6828108.7,0.0,0.0,1.0
1965163.2,6828039.0,0.0,3.0,3.0
1966597.5,6826645.1,1.0,0.0,1.0
1961073.4,6832152.8,0.0,1.0,4.0
1961216.9,6832013.4,0.0,2.0,2.0
1961575.4,6831665.0,0.0,1.0,1.0
1961718.9,6831525.6,0.0,2.0,4.0
1962149.2,6831107.4,0.0,2.0,2.0
1962364.3,6830898.3,2.0,0.0,2.0
1962436.0,6830828.7,1.0,1.0,3.0
1963224.9,6830062.0,0.0,0.0,2.0
1964874.3,6828459.1,2.0,2.0,4.0
1964946.1,6828389.4,1.0,3.0,3.0
1973049.9,6820514.3,0.0,0.0,1.0
1962792.6,6830621.6,0.0,1.0,1.0
1963581.4,6829855.0,0.0,1.0,1.0
1967525.8,6826022.0,0.0,1.0,2.0
1961714.8,6831808.4,0.0,2.0,2.0
1965157.2,6828463.2,2.0,2.0,5.0
1978567.9,6815430.8,0.0,0.0,2.0
1959919.9,6833692.1,0.0,1.0,1.0
1962716.8,6830974.1,0.0,1.0,4.0
1962932.0,6830765.0,0.0,3.0,3.0
1965296.5,6828606.6,0.0,1.0,1.0
1965511.7,6828397.5,1.0,1.0,2.0
1963214.8,6830769.1,1.0,1.0,2.0
1963358.2,6830629.7,0.0,2.0,2.0
1963788.5,6830211.5,0.0,2.0,4.0
1965437.9,6828608.6,0.0,2.0,3.0
1965509.7,6828538.9,0.0,2.0,2.0
1978633.5,6815785.4,0.0,1.0,1.0
1961419.9,6832652.8,1.0,2.0,4.0
1962137.0,6831955.9,0.0,0.0,1.0
1963141.0,6830980.2,1.0,2.0,2.0
1963284.5,6830840.8,1.0,2.0,2.0
1963714.8,6830422.6,0.0,2.0,4.0
1972750.9,6821641.5,0.0,2.0,2.0
1961848.1,6832376.0,2.0,3.0,3.0
1961919.9,6832306.3,1.0,0.0,1.0
1962350.1,6831888.2,0.0,2.0,4.0
1962421.9,6831818.5,0.0,2.0,2.0
1962493.6,6831748.8,1.0,0.0,2.0
1966796.5,6827567.3,1.0,2.0,3.0
1978916.4,6815789.4,1.0,1.0,2.0
1962993.6,6831402.4,1.0,0.0,1.0
1963065.3,6831332.7,2.0,0.0,2.0
1963137.0,6831263.0,0.0,2.0,2.0
1965862.2,6828614.7,1.0,1.0,2.0
1967009.6,6827499.6,1.0,1.0,2.0
1979559.8,6815303.6,0.0,0.0,4.0
1979703.2,6815164.2,1.0,0.0,2.0
1979990.1,6814885.5,0.0,1.0,2.0
1960409.8,6834052.7,2.0,2.0,4.0
1960553.2,6833913.3,0.0,0.0,1.0
1962202.7,6832310.4,0.0,2.0,4.0
1964927.8,6829662.1,0.0,2.0,2.0
1966218.7,6828407.7,0.0,2.0,2.0
1966935.9,6827710.7,2.0,1.0,2.0
1972673.1,6822135.4,0.0,1.0,2.0
1979486.0,6815514.7,0.0,1.0,2.0
1979629.5,6815375.3,1.0,3.0,4.0
1979701.2,6815305.6,1.0,0.0,1.0
1979772.9,6815235.9,0.0,0.0,2.0
1960766.3,6833845.6,0.0,1.0,1.0
1965427.8,6829315.7,2.0,3.0,4.0
1966073.3,6828688.4,1.0,1.0,5.0
1966216.7,6828549.1,0.0,1.0,2.0
1966360.1,6828409.7,1.0,2.0,4.0
1966431.8,6828340.0,0.0,0.0,2.0
1966503.6,6828270.3,1.0,2.0,3.0
1968296.4,6826528.0,1.0,0.0,1.0
1968726.7,6826109.9,0.0,2.0,2.0
1972742.8,6822207.1,0.0,2.0,2.0
1972886.2,6822067.7,0.0,2.0,2.0
1973029.6,6821928.4,0.0,1.0,2.0
1973531.6,6821440.5,1.0,0.0,1.0
1979340.6,6815795.5,0.0,0.0,2.0
1979412.3,6815725.8,0.0,1.0,1.0
1980201.2,6814959.2,0.0,2.0,2.0
1962485.5,6832314.4,0.0,1.0,1.0
1962700.6,6832105.4,1.0,0.0,2.0
1963059.2,6831756.9,0.0,1.0,2.0
1966286.4,6828620.8,1.0,2.0,3.0
1968079.3,6826878.5,0.0,0.0,1.0
1968868.1,6826111.9,0.0,2.0,2.0
1973601.3,6821512.2,0.0,3.0,3.0
1979410.3,6815867.2,0.0,2.0,2.0
1979912.3,6815379.4,2.0,0.0,2.0
1980199.1,6815100.6,0.0,2.0,2.0
1980342.6,6814961.2,0.0,0.0,2.0
1963344.0,6831619.5,1.0,1.0,5.0
1963630.9,6831340.8,0.0,1.0,1.0
1965352.1,6829668.2,0.0,2.0,2.0
1965567.2,6829459.1,0.0,1.0,1.0
1965638.9,6829389.4,1.0,0.0,4.0
1965710.6,6829319.7,1.0,2.0,2.0
1965782.4,6829250.0,2.0,4.0,5.0
1966356.1,6828692.5,2.0,0.0,2.0
1966858.1,6828204.7,0.0,1.0,2.0
1968077.2,6827019.9,0.0,0.0,1.0
1968292.4,6826810.8,0.0,1.0,2.0
1968722.7,6826392.7,0.0,2.0,2.0
1968794.4,6826323.0,2.0,4.0,7.0
1968866.1,6826253.3,0.0,1.0,2.0
1969153.0,6825974.5,2.0,0.0,2.0
1972810.5,6822420.2,0.0,2.0,2.0
1979551.7,6815869.2,0.0,1.0,3.0
1979623.4,6815799.5,0.0,2.0,2.0
1979766.8,6815660.2,1.0,0.0,1.0
1979838.5,6815590.5,0.0,0.0,1.0
1979982.0,6815451.1,1.0,2.0,2.0
1980053.7,6815381.4,1.0,0.0,2.0
1963342.0,6831761.0,1.0,2.0,5.0
1965421.8,6829739.9,0.0,2.0,2.0
1965565.2,6829600.5,0.0,1.0,1.0
1966425.8,6828764.2,0.0,0.0,2.0
1966497.5,6828694.5,1.0,3.0,5.0
1966569.2,6828624.8,0.0,2.0,3.0
1967071.2,6828137.0,0.0,2.0,2.0
1967214.6,6827997.6,1.0,0.0,1.0
1967358.1,6827858.2,2.0,1.0,2.0
1967644.9,6827579.5,1.0,2.0,5.0
1968792.4,6826464.4,0.0,2.0,4.0
1968935.8,6826325.0,0.0,0.0,2.0
1978832.5,6816707.6,0.0,2.0,2.0
1979549.7,6816010.6,2.0,0.0,2.0
1980051.7,6815522.8,1.0,0.0,2.0
1966567.2,6828766.2,0.0,2.0,3.0
1966925.8,6828417.8,0.0,1.0,1.0
1967858.1,6827511.8,1.0,0.0,2.0
1967929.8,6827442.1,1.0,1.0,2.0
1968001.5,6827372.4,0.0,1.0,1.0
1968073.2,6827302.7,0.0,2.0,2.0
1969148.9,6826257.3,1.0,0.0,2.0
1974671.0,6820891.1,0.0,2.0,2.0
1979691.1,6816012.7,0.0,0.0,1.0
1980336.5,6815385.4,0.0,0.0,1.0
1965346.0,6830092.4,0.0,0.0,2.0
1965489.4,6829953.0,2.0,5.0,6.0
1966493.4,6828977.3,2.0,1.0,2.0
1966565.2,6828907.6,1.0,1.0,2.0
1966923.7,6828559.2,0.0,1.0,1.0
1966995.4,6828489.5,1.0,0.0,2.0
1968573.2,6826956.3,0.0,1.0,1.0
1969075.2,6826468.4,0.0,2.0,2.0
1979760.8,6816084.4,1.0,0.0,1.0
1979832.5,6816014.7,0.0,0.0,2.0
1979904.2,6815945.0,1.0,0.0,2.0
1980477.9,6815387.5,0.0,1.0,2.0
1966634.8,6828979.4,4.0,3.0,11.0
1967997.4,6827655.2,0.0,2.0,4.0
1969144.9,6826540.1,1.0,1.0,1.0
1979902.2,6816086.4,0.0,3.0,3.0
1980547.6,6815459.2,0.0,2.0,2.0
1965915.7,6829817.7,0.0,1.0,1.0
1966202.5,6829538.9,1.0,2.0,3.0
1966704.5,6829051.1,0.0,2.0,3.0
1967995.4,6827796.6,0.0,1.0,4.0
1969358.0,6826472.5,0.0,2.0,5.0
1973804.3,6822151.6,0.0,1.0,2.0
1979111.3,6816994.4,0.0,0.0,2.0
1979971.9,6816158.1,0.0,2.0,2.0
1969858.0,6826126.0,0.0,2.0,2.0
1968923.7,6827173.4,0.0,3.0,4.0
1969282.2,6826825.0,0.0,1.0,1.0
1969856.0,6826267.5,1.0,2.0,3.0
1969927.7,6826197.8,0.0,1.0,1.0
1974015.4,6822225.3,0.0,1.0,1.0
1979967.8,6816440.9,0.0,1.0,1.0
1980039.5,6816371.2,0.0,2.0,4.0
1969423.6,6826827.0,1.0,0.0,1.0
1969925.7,6826339.2,1.0,3.0,4.0
1968202.5,6828153.2,0.0,2.0,5.0
1975374.0,6821184.0,1.0,0.0,1.0
1980824.3,6815887.4,1.0,0.0,1.0
1966909.6,6829549.0,0.0,1.0,1.0
1968272.2,6828224.9,1.0,0.0,1.0
1968630.7,6827876.4,0.0,2.0,2.0
1969419.6,6827109.8,0.0,2.0,3.0
1969491.3,6827040.1,0.0,2.0,4.0
1969849.9,6826691.7,0.0,2.0,2.0
1968341.8,6828296.6,0.0,1.0,3.0
1968772.1,6827878.5,0.0,1.0,3.0
1968843.9,6827808.8,1.0,1.0,4.0
1969417.6,6827251.2,0.0,1.0,1.0
1969561.0,6827111.8,0.0,2.0,3.0
1969776.2,6826902.8,1.0,3.0,4.0
1961455.2,6835128.4,0.0,2.0,2.0
1969200.4,6827601.7,0.0,3.0,3.0
1979886.0,6817217.7,1.0,0.0,2.0
1968839.8,6828091.6,0.0,3.0,4.0
1968983.2,6827952.2,0.0,1.0,1.0
1969055.0,6827882.5,0.0,3.0,3.0
1969915.5,6827046.2,2.0,0.0,2.0
1976800.2,6820355.8,0.0,1.0,4.0
1966829.8,6830184.4,0.0,1.0,1.0
1969411.5,6827675.5,0.0,2.0,5.0
1969483.2,6827605.8,0.0,2.0,4.0
1969554.9,6827536.1,1.0,3.0,3.0
1976296.2,6820985.0,0.0,4.0,4.0
1967258.0,6829907.6,0.0,2.0,5.0
1967329.7,6829837.9,0.0,1.0,1.0
1968620.6,6828583.5,0.0,1.0,2.0
1968835.8,6828374.4,0.0,2.0,5.0
1976150.7,6821265.8,0.0,2.0,3.0
1976222.4,6821196.1,0.0,2.0,2.0
1968116.6,6829212.7,0.0,0.0,2.0
1969766.0,6827609.8,0.0,2.0,2.0
1976220.4,6821337.6,1.0,0.0,2.0
1968688.3,6828796.6,1.0,1.0,2.0
1969835.7,6827681.5,0.0,3.0,3.0
1968614.5,6829007.7,1.0,2.0,4.0
1970048.8,6827613.9,2.0,2.0,2.0
1970192.3,6827474.5,1.0,0.0,1.0
1976790.1,6821062.8,2.0,3.0,4.0
1968182.2,6829567.2,0.0,2.0,2.0
1968827.7,6828940.0,0.0,1.0,1.0
1976788.1,6821204.2,2.0,0.0,2.0
1979369.8,6818695.3,2.0,1.0,4.0
1968323.6,6829569.3,2.0,0.0,3.0
1968753.9,6829151.1,0.0,1.0,1.0
1969327.6,6828593.6,0.0,2.0,4.0
1977001.2,6821136.6,0.0,2.0,2.0
1977072.9,6821066.9,0.0,2.0,2.0
1968536.8,6829501.6,0.0,1.0,1.0
1968895.3,6829153.1,1.0,2.0,4.0
1970042.8,6828038.1,0.0,2.0,2.0
1976999.2,6821278.0,0.0,4.0,6.0
1958136.0,6839748.3,0.0,2.0,3.0
1960932.9,6837030.3,1.0,0.0,1.0
1965451.0,6832639.7,0.0,1.0,1.0
1970184.2,6828040.1,0.0,1.0,2.0
1958420.9,6839610.9,3.0,1.0,5.0
1958492.6,6839541.2,0.0,2.0,2.0
1962293.5,6835847.6,0.0,2.0,2.0
1965018.7,6833199.3,0.0,0.0,1.0
1968676.1,6829645.0,0.0,1.0,2.0
1970182.2,6828181.5,0.0,0.0,2.0
1970971.0,6827414.9,0.0,0.0,1.0
1971114.5,6827275.5,0.0,0.0,1.0
1958490.6,6839682.7,0.0,0.0,1.0
1958920.8,6839264.5,1.0,2.0,6.0
1961646.0,6836616.2,0.0,2.0,2.0
1963008.6,6835292.1,0.0,1.0,1.0
1964944.9,6833410.4,2.0,0.0,2.0
1968817.5,6829647.1,0.0,1.0,2.0
1969893.3,6828601.7,0.0,2.0,4.0
1970825.6,6827695.7,0.0,0.0,1.0
1958416.8,6839893.8,0.0,0.0,1.0
1958775.4,6839545.3,0.0,2.0,4.0
1959134.0,6839196.8,1.0,2.0,2.0
1959277.4,6839057.5,0.0,2.0,2.0
1959349.1,6838987.8,1.0,0.0,1.0
1961859.1,6836548.6,1.0,0.0,2.0
1961930.9,6836478.9,0.0,2.0,2.0
1962002.6,6836409.2,1.0,2.0,4.0
1962146.0,6836269.8,0.0,1.0,1.0
1962217.7,6836200.1,0.0,2.0,3.0
1962289.4,6836130.4,0.0,2.0,5.0
1962432.9,6835991.0,1.0,3.0,5.0
1963006.6,6835433.5,0.0,1.0,1.0
1963150.0,6835294.1,3.0,0.0,3.0
1965301.5,6833203.4,0.0,3.0,6.0
1968959.0,6829649.1,1.0,0.0,2.0
1972042.7,6826652.3,1.0,1.0,2.0
1977708.2,6821146.7,0.0,2.0,4.0
1980863.7,6818080.3,1.0,11.0,14.0
1959347.1,6839129.2,2.0,2.0,4.0
1959418.8,6839059.5,1.0,6.0,9.0
1959490.5,6838989.8,1.0,0.0,1.0
1962287.4,6836271.8,1.0,4.0,6.0
1962430.8,6836132.4,1.0,2.0,3.0
1962502.6,6836062.7,0.0,2.0,2.0
1962646.0,6835923.3,0.0,2.0,4.0
1962789.4,6835784.0,1.0,2.0,4.0
